Продам Ducati multistrada 1200,430 000  ₽,"Беговая, 1,1	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/prodam_ducati_multistrada_1200_1842760034
Racer ranger обмен на бездок,Цена не указана,"Садовая, 400	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/racer_ranger_obmen_na_bezdok_1902578610
Продам Suzuki Intruder vs750,230 000  ₽,"Красное Село, ул. Первого Мая, 1к2",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/prodam_suzuki_intruder_vs750_1897523006
Мотоцикл Honda Africa Twin Adventure Sports 2020,1 163 000  ₽,Улица Дыбенко,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_honda_africa_twin_adventure_sports_2020_1852506897
Мотоцикл Bismarck (мотор Sachs) 1939 Германия,89 990  ₽,Московская,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_bismarck_motor_sachs_1939_germaniya_1677217008
Мотоцикл Motoland WRX250 lite,99 000  ₽,"Фрунзенская, 1,2	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_motoland_wrx250_lite_1826523124
VRX400,155 000  ₽,"Площадь Мужества, 1,8	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/vrx400_1863531933
Brp canam spyder,800 000  ₽,"Сестрорецк, Приозёрная ул.",https://www.avito.ru/sankt-peterburg_sestroretsk/mototsikly_i_mototehnika/brp_canam_spyder_1831024704
Мотоцикл Zongshen RX 3,110 000  ₽,"Парнас, 800	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_zongshen_rx_3_1840513751
Baltmotors street 200,63 000  ₽,Парнас,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/baltmotors_street_200_1912674681
Yamaha r6,270 000  ₽,"Проспект Ветеранов, 4,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_r6_1764175864
Кроссовый мотоцикл зид YX250GY-C5C (чёрного цвета),81 200  ₽,"Пискарёвский пр-т, 125Л",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/krossovyy_mototsikl_zid_yx250gy-c5c_chernogo_tsveta_1916443730
Днепр мв-650М,250 000  ₽,Елизаровская,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/dnepr_mv-650m_1916531098
Мотоцикл ZIP motors K5 250сс зеленый,98 500  ₽,"Академическая, 3,4	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_zip_motors_k5_250ss_zelenyy_1820736305
Кастом боббер Хонда стид 400,230 000  ₽,Черная речка,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/kastom_bobber_honda_stid_400_1229797703
Honda VT750 Shadow Slasher,99 000  ₽,"Новочеркасская, 2,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_vt750_shadow_slasher_1914444756
Yamaha FZ6S,345 000  ₽,"Елизаровская, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_fz6s_1822760791
Harley Davidson Electra glide 93,420 000  ₽,"Гражданский проспект, 100	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/harley_davidson_electra_glide_93_1796576687
BMW R1200RT ABS,610 000  ₽,"Елизаровская, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/bmw_r1200rt_abs_1822420174
Suzuki GSF1250 Bandit,370 000  ₽,"Елизаровская, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/suzuki_gsf1250_bandit_1822054346
Stels Flex 250,60 000  ₽,"Комендантский проспект, 2,4	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/stels_flex_250_1877752299
Bse J1 limited edition,88 000  ₽,пос. Тярлево,https://www.avito.ru/sankt-peterburg_pavlovsk/mototsikly_i_mototehnika/bse_j1_limited_edition_1909607316
Ямаха R6*stunt,280 000  ₽,"Сестрорецк, Приморское ш., 264",https://www.avito.ru/sankt-peterburg_sestroretsk/mototsikly_i_mototehnika/yamaha_r6stunt_1795063087
Honda Valkyrie GL1500,399 990  ₽,"Черная речка, 900	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_valkyrie_gl1500_1841301714
Yamaha XJ900S,250 000  ₽,"Адмиралтейская, 300	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_xj900s_1788878428
Мотоцикл кроссовый BSE Z1-150e 19/16,82 990  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_krossovyy_bse_z1-150e_1916_1253311107
Kawasaki er6f,230 000  ₽,"Старая деревня, 400	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/kawasaki_er6f_1870890021
LF200 GY-5 неприхотливый эндуро,45 000  ₽,"Площадь Восстания, 600	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/lf200_gy-5_neprihotlivyy_enduro_1872559546
Питбайк BSE PH10-190E 17/14 бесплатно по РФ,79 990  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_bse_ph10-190e_1714_besplatno_po_rf_1460029543
Питбайк BSE DX 125 17/14 Бесплатно по России,54 990  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_bse_dx_125_1714_besplatno_po_rossii_1009103258
Honda VFR800FI 2001,260 000  ₽,"Проспект Большевиков, 2,4	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_vfr800fi_2001_1627808570
Мотоцикл Honda cbr1000f,135 000  ₽,Пушкин,https://www.avito.ru/sankt-peterburg_pushkin/mototsikly_i_mototehnika/mototsikl_honda_cbr1000f_1817538011
Baltmotors classic 200,80 000  ₽,"пос. Металлострой, Полевая ул., 12",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/baltmotors_classic_200_1802214473
BMW f800gt,400 000  ₽,"Кировский завод, 1,2	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/bmw_f800gt_1193792045
Питбайк детский BSE kids 50 Бесплатно по России,41 490  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_detskiy_bse_kids_50_besplatno_po_rossii_956330059
"Suzuki Intruder vs750, кастом, bobber, чоппер",170 000  ₽,"Адмиралтейская, 300	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/suzuki_intruder_vs750_kastom_bobber_chopper_1467822618
Мотоцикл racer skyway RC300CS + шлем,107 000  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_racer_skyway_rc300cs_shlem_1892829840
Мотоцикл Yamaha Xvs400 Drag Star из Японии,185 000  ₽,"Ладожская, 1	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_yamaha_xvs400_drag_star_iz_yaponii_1896814848
Honda Shadow Aero 1100,260 000  ₽,"Адмиралтейская, 400	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_shadow_aero_1100_1775432095
Кроссовый мотоцикл BSE J1-250E Бесплатно по России,112 900  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/krossovyy_mototsikl_bse_j1-250e_besplatno_po_rossii_1044019937
"Yamaha XJ 600 1994г, Honda CBR 600,Suzuki GSF 600",150 000  ₽,"Волхонское ш., 125к6",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_xj_600_1994g_honda_cbr_600suzuki_gsf_600_1900441771
Мотоцикл Honda CB400 f из Японии,280 000  ₽,"Ладожская, 1	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_honda_cb400_f_iz_yaponii_1896825186
Yamaha YZ450F 2017,300 000  ₽,"Удельная, 1,3	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_yz450f_2017_1848859320
Питбайк BSE SSR Atom 125сс Бесплатно по России,54 990  ₽,Проспект Большевиков,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_bse_ssr_atom_125ss_besplatno_po_rossii_937789430
Harley Davidson V-rod Muscle (vrscf),699 996  ₽,"Проспект Славы, 500	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/harley_davidson_v-rod_muscle_vrscf_1889352828
Питбайк sssr Core 125 17/14 автомат бесплатно РФ,49 900  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_sssr_core_125_1714_avtomat_besplatno_rf_1828138263
Мотоцикл Lifan YX 250GY-C5C Black + шлем в подарок,81 200  ₽,"Проспект Большевиков, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_lifan_yx_250gy-c5c_black_shlem_v_podarok_994969770
Ducati Scrambler Cafe racer 2017 г.в,770 000  ₽,Петроградская,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/ducati_scrambler_cafe_racer_2017_g.v_1849363325
Honda CB 400,155 000  ₽,"ул. Катерников, 5к2",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_cb_400_1840680068
Питбайк SSR proton 125 Or Бесплатно по России,44 990  ₽,"Проспект Большевиков, 1,7	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_ssr_proton_125_or_besplatno_po_rossii_492983216
Продам мотоцикл Yamaha fz6 n,250 000  ₽,"Московская, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/prodam_mototsikl_yamaha_fz6_n_1777553078
Кастом боббер Хонда стид 400,230 000  ₽,Черная речка,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/kastom_bobber_honda_stid_400_1229797703
BMW f800gt,400 000  ₽,"Кировский завод, 1,2	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/bmw_f800gt_1193792045
